Title,Country,Synopsis,Director,Actors,Genres,Rating,Number of Raters,URL
The Dude in Me (2019),South Korea,"Dong Hyun is a high school student and Pan Soo is a member of a criminal organization. One day, Dong Hyun falls from the rooftop and falls on top of Pan Soo. Later when the gangster wakes up in the hospital, he finds himself in the body of a teenager.

",Jo Joong Hoon,"Jung Jin Young, Role: Kim Dong Hyun
Park Sung Woong, Role: Jang Pan Soo
Ra Mi Ran, Role: Oh Mi Sun
Lee Soo Min, Role: Oh Hyun Jung [Student]
Lee Joon Hyuk, Role: Man Chul [Pan Soo's right-hand man]
Kim Kwang Gyu, Role: Kim Jong Gi [Dong Hyun's father]","Action
 Comedy
 Supernatural",8.3,12917,https://mydramalist.com//28713-the-man-inside-me
On Your Wedding Day (2018),South Korea,"Do you remember your first love?

This is the story of Woo Yeon, a man who sees his only love as Seung Hee, a girl who believes in falling in love in 3 seconds. It portrays the hardships of first love, spanning 10 years as they mature from children into adults.

 Woo Yeon was a high school student who hated studying and spent his days getting into fights. His life appears to be going nowhere until he meets a new transfer student named Seung Hee. He falls in love with her at first sight, though she does not appear to reciprocate. Although Seung Hee doesn't seem interested in Woo Yeon, she grows annoyed at the countless male admirers, and they both agree to pretend to be dating, under the condition that Woo Yeon will stop fighting. He promises, and over time their relationship that was once fake,  begins to develop into real love.

However one day, Seung Hee contacts Woo Yeon, telling him to take care. She then leaves town, leaving him heartbroken. He however continues in life, going on to finish high school and find a career. His life seems to be improving, until some time later, he receives a wedding invitation from none other than her, his first love.

",Lee Seok Geun,"Park Bo Young, Role: Hwan Seung Hee
Kim Young Kwang, Role: Hwang Woo Yun
Kang Ki Young, Role: Ok Geun Nam
Go Gyu Pil, Role: Goo Gong Ja
Jang Sung Bum, Role: Choi Soo Pyo
Song Jae Rim, Role: Yoon Geun","Romance
 Melodrama",8.1,13413,https://mydramalist.com//25618-your-wedding
Spellbound (2011),South Korea,"Jo Gu, a street magician, meets a miserable girl, Yu Ri, during one of his performances, and she winds up the inspiration for his “Horror magic show.” The show becomes wildly popular and Jo Gu is now a successful magician with a model girlfriend. Yu Ri begins working as an extra on the show but the darkness inside her, something her teammate's sense, keeps her from truly connecting with anyone else. Jo Gu’s attempt to include her during dinner turns into a disaster when she gets blindingly drunk. Jo Gu calls Yu Ri the next morning, but when the phone disconnects with a weird noise, he starts to worry.

When Jo Gu finds her, she confesses the long story behind her gray, wan face. Since surviving a high school car accident Yu Ri has seen the ghosts of dead schoolmates and her one-time best friend Joo Hee. Joo Hee is a ghost, following her everywhere and scaring the people around her, leaving her totally isolated. Even Yu Ri’s family eventually fled, leaving her behind to live alone in a tent, speaking only to a friend on the phone sometimes. 

During the course of Jo Gu’s failed attempts to find the lonely Yu Ri a boyfriend she resigns herself to the idea of her solitary life is best in the grand scheme of things. And though Jo Gu is sometimes scared witless himself, the pair starts to develop a feeling for each other. Now consumed with jealousy, Joo Hee becomes a threat during the show and prompts Yu Ri to head off to join her family to save Jo Gu. Is getting away going to be that easy, or does Joo Hee have more tricks up her sleeve?

",Hwang In Ho,"Son Ye Jin, Role: Kang Yeo Ri
Lee Min Ki, Role: Ma Jo Goo
Park Chul Min, Role: Pil Dong
Kim Hyun Sook, Role: Min Jung
Lee Mi Do, Role: Yoo Jin
Hwang Seung Eon, Role: Lee Joo Hee","Horror
 Comedy
 Romance
 Supernatural",8.0,14818,https://mydramalist.com//2912-spellbound
The Call (2020),South Korea,"Seo Yeon comes back home after a long time. She connects an old phone that was in the house and speaks to a stranger named Yeong Sook. Seo Yeon realizes that Yeong Sook lives in the same house, but they are 20 years apart, and they become friends from then onwards. Then one day, Seo Yeon and Yeong Sook make a small choice that will change their lives in the time they are in.

",Thriller,"Park Shin Hye, Role: Kim Seo Yeon
Jeon Jong Seo, Role: Oh Yeong Sook
Kim Sung Ryung, Role: Eun Ae [Seo Yeon's mother]
Lee El, Role: Sunwoo Ja Ok [Yeong Sook's stepmother]
Park Ho San, Role: Mr. Kim [Seo Yeon's father]
Oh Jung Se, Role: Park Sung Ho [Strawberry farmer]","Thriller
 Mystery
 Horror
 Sci-Fi",8.3,16906,https://mydramalist.com//31212-call
My Sassy Girl (2001),South Korea,"Gyun Woo is a college student, more interested in picking up girls, drinking with his buddies and avoiding his nagging mother whenever possible. While riding the subway, a drunken girl then changes his fate forever. She's nearly unconscious on the train and vomits on an older guy. She then leans over to Gyun Woo and everybody assumes she is his girlfriend! Gyun Woo soon finds himself in a relationship he didn't ask for, but soon unable to forget this sassy girl. Edit Translation English 中文(简体) Русский Português (Brasil)",Kwak Jae Yong,"Cha Tae Hyun, Role: Gyun Woo
Jun Ji Hyun, Role: [The Sassy Girl]
Song Ok Sook, Role: [Gyun Woo's mother]
Han Jin Hee, Role: [The Girl's Father] 
Kim In Moon, Role: [Gyun Woo's father]
Hyun Sook Hee, Role: [The Sassy girl's mother]","Comedy
 Romance
 Drama",7.9,14320,https://mydramalist.com//139-my-sassy-girl
100 Days with Mr. Arrogant (2004),South Korea,"After being dumped by her boyfriend just before their 100 day anniversary, Ha Young meets a college guy named Hyung Joon whom she accidentally hits in the face with a can causing him to scratch his Lexus. He demands she pay him $3000 on the spot, but she escapes, leaving her wallet behind. Hyung Joon, not satisfied with this, stalks her, demanding money to pay for his car. Since Ha Young is a poor high school student, Hyung Joon writes up an ""Enslavement Agreement"" to ensure she pays for the damage to his car. Through this agreement, Ha Young finds herself thrown into a nightmarish slave life for 100 days; cleaning his house, running his errands, doing his homework, even cleaning his car.

By accident, she discovers that the damage to Hyung Joon's car only cost $10, so she decides to take her revenge. However, before she knows it, Hyung Joon has shown up at her house as her new tutor! He once again takes advantage of her, but soon Ha Young finds herself falling head over heels for him. But what happens when he drops out of her life just when she needs him most? Edit Translation English 中文(简体) Русский Deutsch",Comedy,"Ha Ji Won, Role: Kang Ha Yeong
Kim Jae Won, Role: Ahn Hyung Joon
Jin Tae Hyun, Role: Young Eun
Han Min, Role: Lee Hyeon Joo
Yong Seon Hee, Role: Park Joo Yeon
Hong Ji Young, Role: Ma Ni","Comedy
 Romance
 Drama",7.1,17596,https://mydramalist.com//78-100-days-with-mr.-arrogant
Wolf Girl and Black Prince (2016),Japan,"Shinohara Erika is a first year of high school student. While talking to friends, she makes up a story about her ""boyfriend."" In reality,  Erika  doesn't have a boyfriend. Erika's friends soon begin to doubt her story and Erika is also running out of lies. Erika then sees a pretty boy on the street and takes his picture discreetly. She later shows his picture to her friends as her boyfriend. The boy in the picture is Sata Kyouya and happens to attend the same school as Erika. She tells Kyouya about her situation and asks him to be her pretend boyfriend. Even though Kyouya has a pretty appearance, he has a dark side. Edit Translation English magyar / magyar nyelv dansk Norsk",Hiroki Ryuichi,"Nikaido Fumi, Role: Shinohara Erika
Yamazaki Kento, Role: Sata Kyoya
Suzuki Nobuyuki, Role: Kamiya Nozomi
Kadowaki Mugi, Role: Sanda Ayumi
Yokohama Ryusei, Role: Hibiya Takeru
Ikeda Elaiza, Role: Tazuka Aki","Comedy
 Romance
 Youth",7.4,11803,https://mydramalist.com//15487-wolf-girl-and-black-prince
Space Sweepers (2021),South Korea,"It’s 2092, and space is littered with floating satellites and deserted spaceships. The crew of the junk collector ship, The Victory, travels throughout space looking for saleable garbage. With heavy competition from other junk collector ships, speed is the key to beating their rivals from other nations.

When they discover a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal. ",Yoon Seung Min,"Song Joong Ki, Role: Kim Tae Ho
Kim Tae Ri, Role: Captain Jang / Jang Hyun Sook
Jin Seon Kyu, Role: Tiger Park
Yoo Hae Jin, Role: Robot Eobdong / Bubs [Voice]
Park Ye Rin, Role: Dorothy / Kang Kot Nim 
Kim Mu Yeol, Role: Kang Hyeon U [Kot Nim's father]","Action
 Adventure
 Drama
 Sci-Fi",8.4,17560,https://mydramalist.com//32761-lighting-arc
Rurouni Kenshin (2012),Japan,"Former legendary assassin, Kenshin Himura, has now become a wandering samurai. Offering aid and protecting those in need as atonement for his past deeds. During this time, he comes across and aides Kaoru Kamiya. Her father opened the Kamiya Kasshin-ryu, a Kendo school located in Tokyo, and Kaoru is now an instructor there. Kaoru then invites Kenshin to stay at her dojo. Their relationship develops further, but Kenshin is still haunted by his violent past. 

",Otomo Keishi,"Satoh Takeru, Role: Himura Kenshin
Takei Emi, Role: Kamiya Kaoru
Kikkawa Koji, Role: Udo Jine
Aoki Munetaka, Role: Sagara Sanosuke
Aoi Yu, Role: Takani Megumi
Eguchi Yosuke, Role: Saito Hajime","Action
 Adventure
 Historical
 Drama",8.6,13866,https://mydramalist.com//2941-rurouni-kenshin
Twenty (2015),South Korea,"This knee-slapping comedy follows a unique story about three friends, Chi Ho, Dong Woo, and Gyung Jae. Each of them has just turned 20 years old and the world is their oyster. With new opportunities, they can do what they want, love who they want, and even, cause a little havoc here and there.

",Lee Byung Hun,"Kim Woo Bin, Role: Cha Chi Ho
Lee Jun Ho, Role: Kang Dong Woo
Kang Ha Neul, Role: Kim Kyung Jae
Jung So Min, Role: So Min
Lee Yoo Bi, Role: So Hee [Gyung Jae's sister]
Min Hyo Rin, Role: Jin Joo","Comedy
 Romance
 Youth",8.0,14502,https://mydramalist.com//9743-twenty
Orange (2015),Japan,"During the spring of her 16th year, Takamiya Naho receives a letter from her future self. Upon reading the initial page of the letter, her class was introduced to a transfer student from Tokyo named Naruse Kakeru. The letter, she realized, was an account of the things her future self had experienced and regretted the most.

Frightened, she tries to avoid reading further, but as her interest towards Kakeru blooms, Naho eventually decides to encourage him. Naho, together with the help of her friends Suwa, Chino, Hagita, and Azusa, do their best to avoid having the same regrets their future self had and heals Kakeru from his desolation and self-blame.

",Matsui Rinko,"Tsuchiya Tao, Role: Takamiya Naho
Yamazaki Kento, Role: Naruse Kakeru
Ryusei Ryo, Role: Suwa Hiroto
Yamazaki Hirona, Role: Chino Takako
Shimizu Kurumi, Role: Murasaka Azusa
Sakurada Dori, Role: Hagita Saku","Psychological
 Romance
 Drama
 Sci-Fi",8.3,10671,https://mydramalist.com//14073-orange
L♥DK (2014),Japan,"Nishimori Aoi's parents moved to another city for work, but Aoi didn't want to transfer to a new high school. She stays behind and lives in an apartment by herself. Shusei Kugayama moves in next to Aoi's apartment. Shusei is a very popular student at their high school. Due to a mistake, Aoi makes the fire sprinkler go off in his room. Until Shusei's room is fixed, he stays with Aoi.

",Matsuda Yuko,"Gouriki Ayame, Role: Aoi Nishimori
Yamazaki Kento, Role: Kugayama Shusei
Okamoto Rei, Role: Shibuya Moe [Aoi's best friend]
Nakao Akiyoshi, Role: Sato Ryosuke [Shusei's best friend]
Kiriyama Renn, Role: Sanjo Wataru [Aoi's friend]
Ishibashi Anna, Role: Mizuno Satsuki [Shusei’s childhood friend]","Comedy
 Romance
 Youth
 Drama",7.5,14499,https://mydramalist.com//7320-ldk
Be With You (2018),South Korea,"Soo Ah, before passing away makes an unbelievable promise to her husband, Woo Jin, to return one year later on a rainy day. Miraculously, she keeps the promise and reappears before her husband and son but all her memories have disappeared. Tragically, the relief at their reunion is short-lived, because it turns out that Soo Ah has to leave her family once again.

",Lee Jang Hoon,"So Ji Sub, Role: Jeong Woo Jin
Son Ye Jin, Role: Lim Soo Ah
Kim Ji Hwan, Role: Ji Ho
Ko Chang Seok, Role: Hong Goo
Lee Yoo Jin, Role: Jung Woo Jin [High school age]
Kim Hyun Soo, Role: Im Soo Ah [High school age]","Romance
 Fantasy
 Melodrama",8.7,10474,https://mydramalist.com//24153-be-with-you
Your Name Engraved Herein (2020),Taiwan,"In 1987 when the martial law period ended, two Christian high-school students, Jia Han and Birdy, met at the school band led by a Canadian priest. One day, they were granted a day off to Taipei for the late president’s funeral. The two took a chance to explore the city and theaters, finding themselves inspired by budding love and freedom.

~~ Adapted from the novel ""Your Name Engraved Herein"" (刻在你心底的名字) by DiFer. Edit Translation English Burmese ภาษาไทย Ελληνικά",Liu Kuang Hui,"Edward Chen, Role: Chang Jia Han
Tseng Jing Hua, Role: Wang Po Te / ""Birdy""
Leon Dai, Role: Chang Jia Han [Adult]
Jason Wang, Role: Wang Po Te / ""Birdy"" [Adult]
Fabio Grangeon, Role: Father Oliver
Erek Lin, Role: [Bullied student]","Romance
 Youth
 Drama",8.2,14472,https://mydramalist.com//36661-your-name-engraved-herein
Sky of Love (2007),Japan,"Mika is in her first year of high school. While Mika accidentally met a flashily dressed boy called Hiro at school, she turns and flees. They soon fall in love each other. Their days pass happily, but the trouble is coming to them... 

",Imai Natsuki,"Aragaki Yui, Role: Tahara Mika
Miura Haruma, Role: Sakurai Hiroki
Koide Keisuke, Role: Fukuhara Yu
Nakamura Aoi, Role: Nozomu
Haru, Role: Aya
Usuda Asami, Role: Saki","Romance
 Youth
 Drama",8.1,14520,https://mydramalist.com//66-sky-of-love
