Title,Year,Country,Synopsis,Director,Actors,Genres,Rating,Number of Raters,URL
You're Beautiful (2009),2009,South Korea,"The management company of the idol group A.N.JELL insisted on adding a new singer to the group as the lead vocal, Tae Kyung's voice was hurting. However,the new member, Mi Nam, had to go to the States to repair a botched eye job just before signing the contract. His agent came up with the idea of having his twin sister, Mi Nyu,to stand in for him and pretend that she was her brother. The two of them grew up in an orphanage and Mi Nyu, who was all set to become a nun, agreed to this charade as she didn't want to spoil her brother's chance of fame which would make it easier to look for their mother. ",Hong Jung Eun,"Jang Geun Suk, Role: Hwang Tae Kyung
Park Shin Hye, Role: Go Mi Nam | Go Mi Nyeo / Gemma
Jung Yong Hwa, Role: Kang Shin Woo
Lee Hong Ki, Role: Kang On Yu / Jeremy
Uee, Role: Yoo He Yi
Kim In Kwon, Role: Ma Hoon Yi [Mi Nam's manager]","Music
 Comedy
 Romance
 Drama",8.0,53542,https://mydramalist.com/2986-youre-beautiful
The Package (2017),2017,South Korea,"Yoon So So relocates to France with her college boyfriend, defying her parents' wishes. However, he heartlessly abandons her and returns to Korea. To remain in France for her Ph.D., So So becomes a tour guide specializing in ""Luxurious Premium Tour Packages: 1 Week in France."" She strives to create memorable experiences for travelers. This series follows one such tour, featuring a challenging group of seven tourists. Among them, San Ma Roo stands out as a troublesome traveler who might unexpectedly be So So's destined love.

",Kim Jin Won,"Jung Yong Hwa, Role: San Ma Roo
Lee Yun Hee, Role: Yoon So So
Yoon Park, Role: Yoon Soo Soo
Choi  Woo Shik, Role: Kim Gyung Jae
Ha Shi Eun, Role: Han So Ran
Lee Ji Hyun, Role: Han Book Ja [Gap Soo's wife]","Adventure
 Comedy
 Romance
 Life",8.1,6496,https://mydramalist.com/19776-the-package
Devilish Joy (2018),2018,South Korea,"Would you choose to love someone you could never remember?

Gong Ma Sung grew up having a difficult life and experiencing hardships, yet still making joy from it. He is the successor to the Sunwoo company and excels in anything to do with the cranial nerve. From his difficulties, he is respected and looked up to as a brilliant man. One day, his kindness destroys his life. Whilst trying to help a woman in trouble, he gets into an accident, and his life completely changes. He loses the ability to remember, and his memory is only limited to one day. Now, before he goes to sleep and forgets everything, he notes all events from that one day. He wakes up with no recollection of the past and reads back on his notes to memorize.

His life changes further when he meets Joo Gi Bbeum, a once-popular star, who was loved by all. She is not as revered as she once was, having to go through a horrible experience that shaped who she is in the present, ruined her confidence, and destroyed her future. 

When they meet, Gong Ma Sung falls in love with her, and a connection is formed. But how do you develop love when every day seems like the beginning?

",Kim Ga Ram,"Choi Jin Hyuk, Role: Gong Ma Sung
Song  Ha Yoon, Role: Joo Ki Beum
Lee Ho Won, Role: Sung Ki Joon
Lee  Joo Yeon, Role: Lee Ha Im
Lee Soo Ji, Role: Go Nan Joo [Ki Beum's friend]
Kim Min Sang, Role: Doctor Yoon [Ma Sung's doctor]","Comedy
 Romance
 Drama",7.9,10698,https://mydramalist.com/26979-devilish-joy
The Devil Judge (2021),2021,South Korea,"Set in a dystopian version of present-day Korea where daily life is chaos and society has collapsed to the point that people openly voice their distrust and hatred for their leaders. In this world bereft of law and order, Head Trial Judge Kang signals the need for change. His courtroom is the subject of a reality show where he mercilessly punishes the guilty, earning him the ""Devil Judge"" nickname. As a divisive figure with an aura of mystery that belies his true identity and ambitions, the public is unsure whether he is a true hero or someone, knowingly sowing the seeds of discontent in his courtroom. 

A bitter rivalry has taken shape between the ""Devil Judge"" and the highly ambitious Jung Sun Ah, who has risen from poverty to become a corporate social responsibility foundation director. Into this turbulent world enter two childhood friends on a quest for true justice: rookie Judge Kim Ga On and Police Officer Yoon Soo Hyun. Do they have what it takes to challenge both the scheming Jung Sun Ah and the notorious ""Devil Judge""?

",Moon Yoo Seok,"Ji Sung, Role: Kang Yo Han
Kim Min Jung, Role: Jung Sun Ah
Park Jin Young, Role: Kim Ga On | Kang Isaac
Park Gyu Young, Role: Yoon Soo Hyun
Jeon Chae Eun, Role: Kang Elijah [Yo Han's niece]
Kim Jae Kyung, Role: Oh Jin Joo [Supreme Court]","Mystery
 Law
 Crime
 Drama",8.7,21709,https://mydramalist.com/62087-the-demon-judge
Mad Dog (2017),2017,South Korea,"Choi Kang Woo, who is a former police and leader of Taeyang Insurance's investigators team, decides to create his own investigation team, after an airplane crash that took the life of his wife and son. He then meets Kim Min Joon, a genius former swindler whose brother was also a victim of the crash, thus begin their rivalry and cooperation.

The drama portrays the reality of Korea through diverse insurance crimes that are prevalent in the country. There are the 'copy cats' that imitate and improve the existing crimes, and the 'mad dogs' who catch these bad cats.

",Kim Soo Jin,"Yoo Ji Tae, Role: Choi Kang Woo
Woo Do Hwan, Role: Kim Min Joon
Ryu Hwa Young, Role: Jang Ha Ri
Jo Jae Yoon, Role: Park Soon Jung
Kim Hye Sung, Role: On Noo Ri
Hong Soo Hyun, Role: Cha Hong Joo","Action
 Thriller
 Mystery",8.4,12754,https://mydramalist.com/24187-mad-dog
My Only Love Song (2017),2017,South Korea,"Song Soo Jung is a top star and she is very arrogant. She classifies people by how much money they have. Suddenly, she goes back in time to the Goguryeo era and meets On Dal. He will do anything to make money, but in fact he is generous to the weak and poor.

",Kim Soo Jin,"Gong Seung Yeon, Role: Song Soo Jung
Lee  Jong Hyun, Role: On Dal
Jin Ye Ju, Role: Princess Pyung Gang
Ahn Bo Hyun, Role: Mu Myung
Lee Jae Jin, Role: Byeon Sam Yong
Lee Chul Min, Role: [Movie Director | Magistrate]","Historical
 Comedy
 Romance
 Drama",7.7,10869,https://mydramalist.com/20396-my-only-love-song
Reborn Rich (2022),2022,South Korea,"Yoon Hyun Woo is a devoted, hard-working, and loyal secretary to the Soonyang chaebol family, which runs the lucrative Soonyang Group business empire, founded by Jin Yang Cheol. During a power struggle between Jin Yang Cheol's children for control of the empire, Hyun Woo is ruthlessly betrayed and killed under the orders of an unknown member of the chaebol family. Miraculously he wakes up as a kid inside the body of the youngest member of the family – Jin Do Jun.

After he realizes what has happened, Yoon Hyun Wo plots to use his new “identity” to formulate a hostile takeover of the group – and punish the people who killed him. But, will the cold-blooded and money-hungry CEO of Soonyang Group, one who firmly believes in right of primogeniture, be so easy to win over or conquer? Will Hyun Woo be able to wrest the reins from Jin Yang Cheol's children? And what role will be played in all this by a dogged public prosecutor named Seo Min Young, nicknamed “Soonyang Group Grim Reaper”?

",Jeong Dae Yun,"Song Joong Ki, Role: Jin Do Joon | Yoon Hyun Woo
Lee Sung Min, Role: Jin Yang Cheol
Shin Hyun Been, Role: Seo Min Young
Yoon Je Moon, Role: Jin Young Ki
Kim Jung Nan, Role: Son Jung Rae
Jo Han Chul, Role: Jin Dong Ki","Business
 Drama
 Fantasy
 Political",8.5,16679,https://mydramalist.com/79607-youngest-son-of-a-conglomerate
Mask Girl (2023),2023,South Korea,"Kim Mo Mi is an ordinary office woman with a severe sense of inferiority in appearance and is caught up in various incidents while she is an internet broadcast jockey with her face covered with a mask. 

Joo Oh Nam is Kim Mo Mi’s coworker. He harbors a one-sided crush on Kim Mo Mi. As a character who also feels inferior about his appearance and lacks presence in general, Joo Oh Nam’s only source of joy is watching internet broadcasts. He will get swept up in an unexpected incident with Kim Mo Mi.

",Thriller,"Lee Han Byeol, Role: Kim Mo Mi
Go Hyun Jung, Role: Kim Mo Mi
Nana, Role: Kim Mo Mi
Ahn Jae Hong, Role: Joo Oh Nam
Yeom Hye Ran, Role: Kim Kyung Ja
Shin Ye Seo, Role: Kim Mi Mo","Thriller
 Mystery
 Comedy
 Drama",7.8,11370,https://mydramalist.com/715503-mask-girl
Under the Queen's Umbrella (2022),2022,South Korea,"Within the palace exist troublemaking princes who cause nothing but headaches for the royal family and are about to be turned into proper crown princes. Their mother, Im Hwa Ryeong,  is the wife of a great king. But instead of having an aura of elegance and grace, she is a prickly, sensitive, and hot-tempered queen. Once more serene, she changed since people kept pushing her buttons.  She is a queen who sometimes abandons her pride and is even known to swear!  Every day of her life is full of trials, but she withstands them all, for the sake of her children.

",Park Ba Ra,"Kim Hye Soo, Role: Queen Im Hwa Ryung
Kim Hae Sook, Role: Queen Dowager Cho
Choi Won Young, Role: King Lee Ho
Kim Eui Sung, Role: Hwang Won Hyung
Moon Sang Min, Role: Grand Prince Sung Nam
Ok Ja Yeon, Role: Royal Consort Hwang","Historical
 Comedy
 Drama
 Political",9.0,13312,https://mydramalist.com/705857-umbrella
Devil Beside You (2005),2005,Taiwan,"After finally getting the courage to confess her feelings, Qi Yue was handing her love letter to Yuan Yi, but by a stroke of bad luck, he did not see and walked passed her. The person standing in front of her was the troublemaker of the school, infamously known for his devilish ways - Jiang Meng. The devil will get what he wants, and the object of his desire was Qi Yue. Although having a cruel exterior, Jiang Meng's heart is kind and caring, which truly touched Qi Yue. The big problem remained - Jiang Meng is the son of the man Qi Yue's mother is going to marry. 

~~ Adapted from the manga “Akuma de Sourou” (悪魔で候) by Takanashi Mitsuba (高梨みつば). ",Comedy,"Rainie Yang, Role: Qi Yue
Mike He, Role: Jiang Meng
Kingone Wang, Role: Shang Yuan Yi
Joyce Tsai, Role: Qing Zi
Fion Fu, Role: Xiao Cai
Masuyama Yuki, Role: Yu Yang Ping","Comedy
 Romance
 Youth",7.8,14298,https://mydramalist.com/42-devil-beside-you
Dear.M (2022),2022,South Korea,"Campus life at Seoyeon University has always been relatively peaceful, but when an anonymous post pops up on the school’s online community, the entire campus is flipped upside down. Posted by a mysterious individual, known only as “M”, the entire school is abuzz with curiosity and excitement. Determined to uncover the identity of the mysterious “M”, students all across the campus set out to uncover the truth. But the task will prove to be anything but easy.

Second year student in the Business Administration Department, Ma Joo Ah has taken a keen interest in uncovering the identity of “M”. While she has no interest in pursuing either her own dreams, nor any sort of romantic relationship, she does have a strong desire to solve the school’s current mystery. Alongside her is Cha Min Ho, a second year student in the Computer Science Department, and Joo A’s oldest friend. Together with Economics major Seo Ji Min and Business Administration major Park Ha Neul, the four are determined to discover “M”’s true identity and bring an end to this mystery, once and for all.

As their journey towards the truth progresses, the four friends find themselves in an ever-changing tangle of morphing relationships and budding romances. With emotions high and hearts aflutter, uncovering the identity of “M” has never been more complicated. Will the friends be able to solve this mystery or will “M”’s true identity remain hidden forever?

",Park Jin Woo,"Park Hye Soo, Role: Ma Joo Ah
Jeong Jae Hyun, Role: Cha Min Ho
Roh Jeong Eui, Role: Seo Ji Min
Bae Hyun Sung, Role: Park Ha Neul
Lee Jin Hyuk, Role: Gil Mok Jin
Woo Da Vi, Role: Hwang Bo Young","Romance
 Life
 Youth
 Drama",8.0,9431,https://mydramalist.com/63415-love-playlist-season-5-2021
Skate Into Love (2020),2020,China,"In their youth, Li Yu Bing, a timid boy, and Tang Xue, a short track speed skating girl, shared a common dream of ice sports despite Tang Xue's bullying. Reunited at Lin Da University, Li Yu Bing, now the ice hockey star, seeks revenge by making Tang Xue his helper. As they spend time together, he discovers her positive qualities, and she rediscovers her passion for speed skating. Misunderstandings, first loves, and new rivals complicate their journey, testing their dedication to their sports careers and future.

",Ma Jia,"Zhang Xin Cheng, Role: Li Yu Bing 
Janice Wu, Role: Tang Xue
Zhou Zhan, Role: Yu Yan
Vincent Wei, Role: Bian Cheng
Chu Yue, Role: Zhou Ran [Tang Xue's cousin]
Han Jiu Nuo, Role: Zhang Yue Wei [Star player of the short track speed skating team]","Comedy
 Romance
 Youth
 Sports",8.4,14477,https://mydramalist.com/34030-skate-into-love
Kiss Sixth Sense (2022),2022,South Korea,"Hong Ye Sool, the best account executive on Planning Team 1 at Zeu Ad is making her way up as a project manager. She has one secret: she can see the future when she kisses someone. One day, after Ye Sool's lips accidentally meet the lips of her evil team chief Min Hoo, she sees herself in bed with him in the future. While Ye Sool is confused with her future, her ex-boyfriend Pil Yo shows up to work on a new project together and offers Yesool to go on a date with him three times. This romantic office comedy revolves around Ye Sool, whose primary focus is work.

",Jeon Yoo Ri,"Yoon Kye Sang, Role: Cha Min Hoo
Seo Ji Hye, Role: Hong Ye Sul
Kim Ji Suk, Role: Lee Pil Yo
Lee  Joo Yeon, Role: Oh Ji Young [Actress]
Tae In Ho, Role: Oh Seung Taek [Doctor]
Kim Ga Eun, Role: Ban Ho Woo [Ye Sul's cousin]","Comedy
 Romance
 Fantasy
 Supernatural",8.0,8381,https://mydramalist.com/707571-kiss-six-sense
